S.Hemi Temperature Anomalies (deg C) AIRS v6 vs. 2007-2016
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2008, -0.224, -0.325, -0.195, -0.064, -0.141, -0.223,  0.086, -0.136, -0.007, -0.141, -0.148, -0.033, -0.129, -0.151, -0.282, -0.134, -0.091, -0.099
2009,  0.023, -0.033,  0.289, -0.080,  0.134,  0.128,  0.255,  0.073, -0.090, -0.025,  0.133,  0.084,  0.074,  0.065, -0.014,  0.114,  0.152,  0.006
2010,  0.121,  0.218,  0.145,  0.033, -0.082, -0.061, -0.277, -0.171, -0.033, -0.109, -0.145, -0.116, -0.040, -0.023,  0.141,  0.032, -0.170, -0.096
2011, -0.065, -0.125, -0.218,  0.036, -0.109,  0.028,  0.243,  0.151, -0.078, -0.165, -0.147, -0.217, -0.056, -0.047, -0.102, -0.097,  0.141, -0.130
2012, -0.221, -0.055, -0.093, -0.038,  0.032, -0.045, -0.204, -0.007, -0.099,  0.104, -0.001,  0.026, -0.050, -0.070, -0.164, -0.033, -0.086,  0.001
2013,  0.083,  0.024, -0.040,  0.008, -0.128,  0.144, -0.169,  0.005,  0.236, -0.016, -0.019,  0.044,  0.014,  0.013,  0.045, -0.053, -0.007,  0.067
2014, -0.001, -0.185, -0.065,  0.003,  0.144, -0.009, -0.071,  0.034,  0.201,  0.125,  0.061,  0.032,  0.023,  0.024, -0.047,  0.027, -0.015,  0.129
2015,  0.042,  0.154,  0.003, -0.156, -0.108, -0.101, -0.140, -0.044, -0.008,  0.175,  0.157,  0.291,  0.022,  0.001,  0.076, -0.087, -0.095,  0.108
2016,  0.205,  0.277,  0.191,  0.180,  0.132,  0.008,  0.213,  0.211,  0.053,  0.251,  0.294,  0.183,  0.183,  0.192,  0.258,  0.167,  0.144,  0.199
2017,  0.224,  0.267,  0.227,  0.066,  0.218, -0.005,  0.108,  0.017,  0.071,  0.142, -0.001, -0.010,  0.110,  0.127,  0.225,  0.170,  0.040,  0.071
2018,  0.112,  0.017,  0.067,  0.205,  0.021,  0.049, -0.003, -0.040, -0.064,  0.021,  0.037,  0.213,  0.053,  0.034,  0.040,  0.098,  0.002, -0.002
2019,  0.235,  0.341,  0.272,  0.190,  0.051,  0.072,  0.193,  0.149,  0.075,  0.249,  0.300,  0.348,  0.206,  0.195,  0.263,  0.171,  0.138,  0.208
2020,  0.249,  0.126,  0.050,  0.225,  0.110,  0.163,  0.148, -0.066,  0.174,  0.002,  0.159, -0.141,  0.100,  0.141,  0.241,  0.128,  0.082,  0.112
2021, -0.104, -0.141, -0.060, -0.060, -0.069, -0.097,  0.148,  0.079,  0.178,  0.018, -0.017,  0.228,  0.009, -0.022, -0.128, -0.063,  0.043,  0.060
2022,  0.226,  0.234,  0.241, -0.244,  0.096,  0.173,  0.124, -0.100, -0.080, -0.081, -0.240, -0.011,  0.028,  0.048,  0.229,  0.031,  0.066, -0.134
2023,  0.003,  0.267,  0.352,  0.424,  0.176,  0.425,  0.442,  0.313,  0.496,  0.172,  0.221,  0.376,  0.306,  0.273,  0.086,  0.317,  0.393,  0.296
2024,  0.408,  0.498,  0.426,  0.181,  0.238,  0.278,  0.300,  0.413,  0.213,  0.051, -0.129,  0.051,  0.244,  0.271,  0.427,  0.282,  0.330,  0.045
2025,  0.270,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******
S.Hemi Temperature Anomalies (deg C) GHCNv4/ERSSTv5 vs. 2007-2016
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2002,  0.005, -0.058,  0.124,  0.163,  0.184, -0.135,  0.031, -0.098,  0.042, -0.028, -0.170, -0.056,  0.000,  0.001, -0.036,  0.157, -0.067, -0.052
2003,  0.050,  0.126,  0.015,  0.008, -0.092, -0.100, -0.063, -0.186, -0.146, -0.119, -0.157, -0.001, -0.055, -0.060,  0.040, -0.023, -0.116, -0.141
2004, -0.018,  0.051, -0.127,  0.027, -0.364, -0.101, -0.515, -0.260, -0.209, -0.057, -0.085,  0.058, -0.133, -0.138,  0.011, -0.155, -0.292, -0.117
2005,  0.028,  0.004,  0.019, -0.079, -0.100, -0.004, -0.064, -0.107, -0.069, -0.002, -0.131,  0.008, -0.041, -0.037,  0.030, -0.053, -0.058, -0.067
2006, -0.041,  0.031, -0.043, -0.154, -0.395,  0.001, -0.151,  0.106, -0.110, -0.147, -0.031, -0.091, -0.085, -0.077, -0.001, -0.197, -0.015, -0.096
2007,  0.058,  0.024, -0.027, -0.038,  0.070,  0.063,  0.008, -0.143, -0.081, -0.241, -0.195, -0.294, -0.066, -0.049, -0.003,  0.002, -0.024, -0.172
2008, -0.253, -0.310, -0.172, -0.065, -0.200, -0.142,  0.060, -0.281,  0.039, -0.094, -0.143, -0.089, -0.138, -0.155, -0.285, -0.146, -0.121, -0.066
2009, -0.049, -0.125, -0.037,  0.027,  0.059,  0.105,  0.253,  0.035, -0.031, -0.053,  0.186,  0.163,  0.044,  0.023, -0.088,  0.016,  0.131,  0.034
2010,  0.178,  0.251,  0.222,  0.070, -0.013,  0.007, -0.166, -0.139, -0.052, -0.031, -0.147, -0.120,  0.005,  0.029,  0.197,  0.093, -0.099, -0.076
2011, -0.086, -0.079, -0.106, -0.035, -0.180, -0.030,  0.148,  0.169, -0.223, -0.173, -0.032, -0.190, -0.068, -0.062, -0.095, -0.107,  0.096, -0.143
2012, -0.227, -0.083, -0.083, -0.095,  0.013, -0.162, -0.218, -0.069, -0.027,  0.112,  0.037,  0.096, -0.059, -0.083, -0.167, -0.055, -0.149,  0.041
2013,  0.051, -0.024,  0.009, -0.104, -0.155,  0.103, -0.036,  0.057,  0.218, -0.018, -0.021,  0.039,  0.010,  0.015,  0.041, -0.083,  0.041,  0.060
2014,  0.029, -0.098, -0.167,  0.021,  0.239,  0.025, -0.141,  0.131,  0.301,  0.094, -0.034, -0.053,  0.029,  0.037, -0.010,  0.031,  0.005,  0.121
2015,  0.017,  0.133,  0.071, -0.004, -0.038,  0.056, -0.003, -0.048, -0.106,  0.280,  0.189,  0.278,  0.069,  0.041,  0.032,  0.010,  0.002,  0.121
2016,  0.283,  0.310,  0.290,  0.225,  0.207, -0.026,  0.096,  0.288, -0.038,  0.124,  0.159,  0.168,  0.174,  0.183,  0.290,  0.241,  0.119,  0.082
2017,  0.142,  0.276,  0.291,  0.197,  0.314, -0.025,  0.112,  0.096, -0.112,  0.155, -0.020, -0.026,  0.117,  0.133,  0.195,  0.267,  0.061,  0.008
2018, -0.010, -0.023,  0.064,  0.305,  0.036,  0.156,  0.194,  0.044,  0.015,  0.221,  0.135,  0.241,  0.115,  0.093, -0.020,  0.135,  0.131,  0.124
2019,  0.148,  0.296,  0.257,  0.274,  0.127,  0.098,  0.300,  0.166,  0.027,  0.118,  0.225,  0.306,  0.195,  0.190,  0.229,  0.219,  0.188,  0.123
2020,  0.238,  0.298,  0.161,  0.351,  0.139,  0.178,  0.135, -0.023,  0.124, -0.045,  0.033, -0.110,  0.123,  0.158,  0.280,  0.217,  0.097,  0.038
2021, -0.151, -0.152,  0.048, -0.112, -0.054, -0.034,  0.219, -0.030,  0.179,  0.095, -0.010,  0.065,  0.005, -0.009, -0.138, -0.039,  0.052,  0.088
2022,  0.063,  0.132,  0.150,  0.085,  0.073,  0.207,  0.273,  0.100,  0.013,  0.040, -0.200,  0.022,  0.080,  0.083,  0.087,  0.103,  0.193, -0.049
2023, -0.064,  0.164,  0.295,  0.467,  0.159,  0.463,  0.399,  0.189,  0.675,  0.228,  0.291,  0.367,  0.303,  0.274,  0.041,  0.307,  0.350,  0.398
2024,  0.298,  0.458,  0.485,  0.341,  0.288,  0.428,  0.439,  0.553,  0.266,  0.365,  0.129,  0.310,  0.363,  0.368,  0.375,  0.371,  0.474,  0.254
2025,  0.370,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******
